text,union_name,desig_num,f_num,reason_missing_fnum,split
USW-2635-24,"STEELWORKERS, AFL-CIO",2635.0,24988.0,,train
UAW Local 6645,AUTO WORKERS AFL-CIO,6645.0,540069.0,,train
IAMAW Local 1115,MACHINISTS AFL-CIO,1115.0,40654.0,,train
UFCW-293,FOOD AND COMMERCIAL WKRS,293.0,544548,,train
IBT-63,TEAMSTERS,63.0,508852.0,,train
International Brotherhood of Electrical Workers (IBEW)  Local Union 50,ELECTRICAL WORKERS IBEW AFL-CIO,50.0,541822.0,,train
IBT-79,TEAMSTERS,79.0,35477.0,,train
SEIU 87,SERVICE EMPLOYEES,87.0,34951.0,,train
IBT-500,TEAMSTERS,500.0,65960.0,,train
IUOE-77,"ENGINEERS, OPERATING, AFL-CIO",77.0,24845.0,,train
IAM District Lodge 75 2460,MACHINISTS AFL-CIO,2460.0,68804.0,,train
Carpenters Industrial Council-1615,CARPENTERS IND,1615.0,52215.0,,train
"International Brotherhoood of Electrical Workers, AFL-CIO 1245",ELECTRICAL WORKERS IBEW AFL-CIO,1245.0,36759.0,,train
Denver Newspaper Guild - CWA 37074,COMMUNICATIONS WORKERS AFL-CIO,37074.0,42048.0,,train
Teamsters 773,TEAMSTERS,773.0,23562.0,,train
"Sheet Metal, Air, Rail & Transportation Workers 100","SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",100.0,,ambiguous,train
UFCW-440,FOOD AND COMMERCIAL WKRS,440.0,541461,,train
UAW-904,AUTO WORKERS AFL-CIO,904.0,63138.0,,train
OPEIU  8,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,8.0,26712.0,,test
USW-10-00018,"STEELWORKERS, AFL-CIO",18.0,40801.0,,train
INTERNATIONAL BROTHERHOOD OF TEAMSTERS 473,TEAMSTERS,473.0,38241.0,,train
"GENERAL TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS OF BROCKTON & VICINITY 653",TEAMSTERS,653.0,37664.0,,train
IBT-279,TEAMSTERS,279.0,9315.0,,train
USW Local 2155-07,"STEELWORKERS, AFL-CIO",2155.0,16521.0,,train
United Auto Workers 155,AUTO WORKERS AFL-CIO,155.0,16100.0,,train
Bricklayer District 1,BRICKLAYERS AFL-CIO,1.0,513391.0,,test
CWA-13000,COMMUNICATIONS WORKERS AFL-CIO,13000.0,516822.0,,train
"New England Joint Board, UNITE HERE 242",UNITE HERE,242.0,49552.0,,train
SPFPA 5,"SECURITY POLICE, FIRE PROF, IND",5.0,19236.0,,train
LIUNA AFL-CIO Local 3,LABORERS,3.0,544697.0,,train
UFCW 881,FOOD AND COMMERCIAL WKRS,881.0,515066.0,,train
IBEW 2139,ELECTRICAL WORKERS IBEW AFL-CIO,2139.0,66210.0,,train
IUPAT District Council 36 1036,PAINTERS AFL-CIO,1036.0,544417.0,,train
SEIU/UHWE Local 1199,SERVICE EMPLOYEES,1199.0,31847.0,,train
IUOE 1,"ENGINEERS, OPERATING, AFL-CIO",1.0,,ambiguous,train
IBEW Local 2304,ELECTRICAL WORKERS IBEW AFL-CIO,2304.0,68337.0,,train
PAT-820,PAINTERS AFL-CIO,820.0,21505.0,,train
Iuoe Local 324 324,"ENGINEERS, OPERATING, AFL-CIO",324.0,19088.0,,train
TEAMSTERS 560,TEAMSTERS,560.0,21915.0,,train
IBEW-1200,ELECTRICAL WORKERS IBEW AFL-CIO,1200.0,21919.0,,train
Unite Here  100,UNITE HERE,100.0,515249.0,,train
IATSE-84,STAGE AND PICTURE OPERATORS AFL-CIO,84.0,45746.0,,train
LIUNA-1310,LABORERS,1310.0,544304.0,,train
USW-12-5,"STEELWORKERS, AFL-CIO",5.0,24235.0,,train
IBEW-160,ELECTRICAL WORKERS IBEW AFL-CIO,160.0,22522.0,,train
UA Local 342,PLUMBERS AFL-CIO,342.0,33320.0,,train
USW 7600,"STEELWORKERS, AFL-CIO",7600.0,67051.0,,train
"United Electrical, Radio & machine Workers of America 275",ELECTRICAL WORKERS UE IND,275.0,510290.0,,train
IBT-312,TEAMSTERS,312.0,4079.0,,train
UNITED STEELWORKERS INTERNATIONAL UNION 14734-06,"STEELWORKERS, AFL-CIO",14734.0,28532.0,,train
USW-3199-14,"STEELWORKERS, AFL-CIO",3199.0,12807.0,,train
General Truck Drivers and Helpers-92,TEAMSTERS,92.0,16786.0,,train
"United Association of Plumbers, Pipefitters& Service Technicians 502",PLUMBERS AFL-CIO,502.0,543051.0,,train
"United Automobile, Aerospace & Agricultural Implement Workers (UAW) 75 Unit 1",AUTO WORKERS AFL-CIO,75.0,41010.0,,train
IAMAW District Lodge 90-1595,MACHINISTS AFL-CIO,1595.0,37732.0,,train
Northern California District Council of Laborers-304,LABORERS,304.0,39218.0,,train
UAW Local 838 Unit 14,AUTO WORKERS AFL-CIO,838.0,2232.0,,train
IAMAW Local 313-777,MACHINISTS AFL-CIO,313.0,26836.0,,train
UA-636,PLUMBERS AFL-CIO,636.0,22479.0,,train
Minnesota Cement Masons Plasterers and Shophands -633,PLASTERERS AND CEMENT MASONS AFL-CIO,633.0,528377.0,,train
UAW 1134,AUTO WORKERS AFL-CIO,1134.0,48295.0,,train
Iron Workers  25,IRON WORKERS AFL-CIO,25.0,28506.0,,train
Roofers -58,ROOFERS AFL-CIO,58.0,66921.0,,train
Road & Heavy Construction Laborers 1298,LABORERS,1298.0,1479.0,,test
IAMAW 281,MACHINISTS AFL-CIO,281.0,25972.0,,train
United Steelworkers-9777-36,"STEELWORKERS, AFL-CIO",9777.0,541687.0,,train
SEIU NY Local 1199,SERVICE EMPLOYEES,1199.0,,ambiguous,train
United Food and Commercial Workers Union 1059,FOOD AND COMMERCIAL WKRS,1059.0,23709.0,,train
Laborers' International Union of North America 860,LABORERS,860.0,41088.0,,train
IAMAW 757,MACHINISTS AFL-CIO,757.0,34485.0,,train
LIUNA 91,LABORERS,91.0,4153.0,,train
"International Union Security, Police, Fire Professionals of America(SPFPA)       261","SECURITY POLICE, FIRE PROF, IND",261.0,543371.0,,train
UNITED STEELWORKERS 186,"STEELWORKERS, AFL-CIO",186.0,33844,,train
GENERAL TEAMSTERS UNION-662,TEAMSTERS,662.0,28535.0,,train
AFSCME Council 65 105-107,STATE COUNTY AND MUNI EMPLS AFL-CIO,,,multi-local,train
AFGE Council 170,GOVERNMENT EMPLOYEES AFGE AFL-CIO,170.0,542290.0,,train
OPCMIA -692 Area 694,PLASTERERS AND CEMENT MASONS AFL-CIO,692.0,530002.0,,test
United Steelworkers AFL-CIO.CLC 1693-20,"STEELWORKERS, AFL-CIO",1693.0,38468.0,,train
Teamsters General Union Local 346,TEAMSTERS,346.0,26071.0,,train
USW International Union 8938-03,"STEELWORKERS, AFL-CIO",8938.0,514634.0,,train
United Automobile Aerospace and Agricultural Implement Workers of America 1414,AUTO WORKERS AFL-CIO,1414.0,64415.0,,train
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Worke 6967-01","STEELWORKERS, AFL-CIO",6967.0,63558.0,,train
IBT-560,TEAMSTERS,560.0,21915.0,,train
International Brotherhood of Electrical Workers Local Union 71,ELECTRICAL WORKERS IBEW AFL-CIO,71.0,46050.0,,train
"Intl' Assn Bridge,Structural,Ornamental,&Rein.Ironworkers 27",IRON WORKERS AFL-CIO,27.0,41370.0,,train
USW Local 6037-1,"STEELWORKERS, AFL-CIO",6037.0,54626.0,,train
PAT-357,PAINTERS AFL-CIO,357.0,47565.0,,train
IBT-528,TEAMSTERS,528.0,62785.0,,train
"United Steelworkers, AFL-CIO•CLC  –  District 2 12075-18","STEELWORKERS, AFL-CIO",12075.0,35853.0,,train
"Office & Professional Employees International Union, Local 29",OFFICE AND PROFESSIONAL EMPLS AFL-CIO,29.0,16408.0,,train
IUOE Local 17,"ENGINEERS, OPERATING, AFL-CIO",17.0,30561.0,,train
United Steelworkers 268,"STEELWORKERS, AFL-CIO",268.0,30845.0,,train
USW-00461,"STEELWORKERS, AFL-CIO",461.0,63468.0,,train
USW-3199-19,"STEELWORKERS, AFL-CIO",3199.0,12807.0,,train
IBEW Local 102,ELECTRICAL WORKERS IBEW AFL-CIO,102.0,4017.0,,train
IAMAW-2452,MACHINISTS AFL-CIO,2452.0,68575.0,,train
USW-2155-07,"STEELWORKERS, AFL-CIO",2155.0,16521.0,,train
USW-781,"STEELWORKERS, AFL-CIO",781.0,55654.0,,train
USW AFL-CIO CLC-4889,"STEELWORKERS, AFL-CIO",4889.0,10881.0,,train
UNITED STEELWORKERS INTERNATIONAL UNION 2L-15,"STEELWORKERS, AFL-CIO",15.0,514346,,train
USW-7752,"STEELWORKERS, AFL-CIO",7752.0,68014.0,,train
IUE-CWA-444 Salaried,COMMUNICATIONS WORKERS AFL-CIO,444.0,68148,,train
United Auto Workers 1443,AUTO WORKERS AFL-CIO,1443.0,64609.0,,train
USW-03937-12 District 12,"STEELWORKERS, AFL-CIO",3937.0,30694.0,,train
IAMAW 264,MACHINISTS AFL-CIO,264.0,22251.0,,train
ATU-1764,TRANSIT UNION AFL-CIO,1764.0,544061.0,,train
IBT-710,TEAMSTERS,710.0,28039.0,,train
SEIU Local 775,SERVICE EMPLOYEES,775.0,542433.0,,test
Office and Professional Employees International Union 459,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,459.0,71162.0,,test
International Brotherhood of Teamsters 120,TEAMSTERS,120.0,1526.0,,train
International Union of Painters & Allied Trades / Glaziers 252,PAINTERS AFL-CIO,252.0,23414.0,,train
International Brotherhood of Teamsters 247,TEAMSTERS,247.0,28810.0,,train
IAMAW-463,MACHINISTS AFL-CIO,463.0,541262.0,,train
RWAW-154,ROOFERS AFL-CIO,154.0,32405.0,,train
LIUNA 758,LABORERS,758.0,28652.0,,train
IAMAW-I-460,MACHINISTS AFL-CIO,460.0,544843.0,,train
Union de Treronquistas de PR 901,TEAMSTERS,901.0,48892.0,,train
UBCJA Local 0004,CARPENTERS IND,4.0,24923.0,,train
IBT 315,TEAMSTERS,315.0,9807.0,,train
IAMAW District 26-354,MACHINISTS AFL-CIO,354.0,36496,,train
USW District 10 AFL-CIO CLC Local 1660-06,"STEELWORKERS, AFL-CIO",1660.0,16242.0,,train
TEAMSTERS 135,TEAMSTERS,135.0,9836.0,,train
UNITED STEELWORKERS 00318-69,"STEELWORKERS, AFL-CIO",318.0,32980.0,,train
SMART Local 88,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",88.0,41388.0,,train
LIUNA-814,LABORERS,814.0,508981.0,,train
District Council 37 389,STATE COUNTY AND MUNI EMPLS AFL-CIO,389.0,516238.0,,train
IAMAW District 10 1406,MACHINISTS AFL-CIO,1406.0,19839.0,,train
UAW Local 771,AUTO WORKERS AFL-CIO,771.0,18018.0,,train
UAW 2122,AUTO WORKERS AFL-CIO,2122.0,516916.0,,train
"United Electrical, Radio and Machine Workers of America (UE) 642",ELECTRICAL WORKERS UE IND,642.0,543887.0,,train
IAFF Local F-37,FIRE FIGHTERS AFL-CIO,37.0,,ambiguous,train
American Federation of Musicians-76-493,MUSICIANS AFL-CIO,76.0,32173.0,,train
USW 474,"STEELWORKERS, AFL-CIO",474.0,66084.0,,train
SMART Local 20,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",20.0,,ambiguous,train
United Steelworkers 1688-07,"STEELWORKERS, AFL-CIO",1688.0,9508.0,,train
United Steelworkers AFL-CIO-CLC 2-364,"STEELWORKERS, AFL-CIO",364.0,,ambiguous,train
Boilermakers L-5 Zone 197,BOILERMAKERS AFL-CIO,5.0,,multi-local,test
USW -7-647,"STEELWORKERS, AFL-CIO",647.0,38116.0,,train
UAW-724,AUTO WORKERS AFL-CIO,724.0,8772.0,,train
SEIU 721,SERVICE EMPLOYEES,721.0,543613,,train
IBT Council 43-243,TEAMSTERS,243.0,30804.0,,train
UAW-2314,AUTO WORKERS AFL-CIO,2314.0,529996.0,,train
USW District 7-03403-82,"STEELWORKERS, AFL-CIO",3403.0,27801.0,,train
USW-7-507-14,"STEELWORKERS, AFL-CIO",507.0,3005.0,,train
Teamsters Local 247,TEAMSTERS,247.0,28810.0,,train
AFSCME Council 65 1647-8,STATE COUNTY AND MUNI EMPLS AFL-CIO,1647.0,545297.0,,train
International Brotherhood of Teamsters #2,TEAMSTERS,2.0,,ambiguous,train
AFSCME District Council 47,STATE COUNTY AND MUNI EMPLS AFL-CIO,47.0,514329.0,,train
IUPAT-246,PAINTERS AFL-CIO,246.0,23481.0,,train
USW District 11-9349-01,"STEELWORKERS, AFL-CIO",9349.0,537080.0,,train
The New England Joint Board 281,"WORKERS UNITED, SEIU",281.0,,not in gazetteer,train
United Steelworkers-1408-44,"STEELWORKERS, AFL-CIO",1408.0,,multi-local,train
USW Local 979-1,"STEELWORKERS, AFL-CIO",979.0,,ambiguous,train
USW Local 01999-21,"STEELWORKERS, AFL-CIO",1999.0,541052.0,,train
I.A.T.S.E.-38,STAGE AND PICTURE OPERATORS AFL-CIO,38.0,,ambiguous,train
SCDCL-783,LABORERS,783.0,5939.0,,train
IBEW-5,ELECTRICAL WORKERS IBEW AFL-CIO,5.0,,ambiguous,train
IBT 2785,TEAMSTERS,2785.0,34030.0,,train
Office and Professional Employee International Union 6,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,6.0,25360.0,,train
NCDCL-270,LABORERS,270.0,22527.0,,train
USW-7655-02,"STEELWORKERS, AFL-CIO",7655.0,67189.0,,test
IBT-707,TEAMSTERS,707.0,33570.0,,train
USW Local 00070-01,"STEELWORKERS, AFL-CIO",70.0,,ambiguous,train
"United Automobile, Aerospace & Agricultural Implement Workers of America (UAW) Local 646",AUTO WORKERS AFL-CIO,646.0,38675.0,,train
CMRJB-504,"WORKERS UNITED, SEIU",504.0,49295.0,,train
International Association of Machinists and Aerospace Workers 218,MACHINISTS AFL-CIO,218.0,20555.0,,train
AFSCME 1739,STATE COUNTY AND MUNI EMPLS AFL-CIO,1739.0,533825.0,,train
CWA-9003,COMMUNICATIONS WORKERS AFL-CIO,9003.0,544574.0,,test
USW District 7-02003-10,"STEELWORKERS, AFL-CIO",2003.0,542903,,train
Roofers 182,ROOFERS AFL-CIO,182.0,33167.0,,train
Internatioal Union of Operating Engineers 95,"ENGINEERS, OPERATING, AFL-CIO",95.0,37173.0,,test
IBT-926,TEAMSTERS,926.0,19807.0,,train
USW AFL-CIO CLC Local 8-00556,"STEELWORKERS, AFL-CIO",556.0,12171.0,,train
"United Electrical, Radio & Machine Workers of America 250",ELECTRICAL WORKERS UE IND,250.0,544723.0,,train
PAT-1044 DC 35,PAINTERS AFL-CIO,1044.0,30531.0,,train
New Egland Healthcare Employees Union DISTRICT 1199,SERVICE EMPLOYEES,1199.0,513846.0,,train
"United Electrical, Radio and Machine Workers of America (UE) 683",ELECTRICAL WORKERS UE IND,683.0,530158.0,,train
SMART  435,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",435.0,10194.0,,train
UAW International Union 708,AUTO WORKERS AFL-CIO,708.0,10663.0,,train
IUOE-150,"ENGINEERS, OPERATING, AFL-CIO",150.0,31860.0,,train
USW District 11-11-00578-35,"STEELWORKERS, AFL-CIO",578.0,23471.0,,train
International Longshoremen's Association AFL-CIO 1765,LONGSHOREMENS ASN AFL-CIO,1765.0,9437.0,,test
Heat & Frost Insulators & Allied Workers 8,INSULATORS AFL-CIO,8.0,9961.0,,train
IBB Local 684,BOILERMAKERS AFL-CIO,684.0,50604.0,,train
International Longshoremen's Association 1443,LONGSHOREMENS ASN AFL-CIO,1443.0,545816.0,,train
IBT Council 40 261,TEAMSTERS,261.0,15399.0,,train
USW-9899,"STEELWORKERS, AFL-CIO",9899.0,543162.0,,train
Iron Workers-92,IRON WORKERS AFL-CIO,92.0,34852.0,,train
American Federation of Musicians 423,MUSICIANS AFL-CIO,423.0,546386.0,,train
Newspaper Guild of Pittsburgh/CWA-38061,COMMUNICATIONS WORKERS AFL-CIO,38061.0,49040.0,,train
USW-4-9,"STEELWORKERS, AFL-CIO",9.0,511623.0,,train
USW - Clerical Group 13-423,"STEELWORKERS, AFL-CIO",423.0,22524.0,,train
IAMAW-1968,MACHINISTS AFL-CIO,1968.0,,ambiguous,train
International Association of Machinists and Aerospace Workers 1426,MACHINISTS AFL-CIO,1426.0,22311.0,,train
"International Association of Machinists & Aerospace Workers, District Lodge 725 2228",MACHINISTS AFL-CIO,2228.0,63454.0,,train
USW Local 01999-32,"STEELWORKERS, AFL-CIO",1999.0,541052.0,,train
USW-361-02,"STEELWORKERS, AFL-CIO",361.0,67794.0,,train
IAMAW 1998,MACHINISTS AFL-CIO,1998.0,502246.0,,train
Painter and Allied Trades-36,PAINTERS AFL-CIO,36.0,30396.0,,train
Metallic Lathers Union and Reinforcing Ironworkers of NY 46,IRON WORKERS AFL-CIO,46.0,8438.0,,train
Operating Engineers 520,"ENGINEERS, OPERATING, AFL-CIO",520.0,7581.0,,train
Operative Plasterers & Cement Masons Local 692 Area 566,PLASTERERS AND CEMENT MASONS AFL-CIO,692.0,530002.0,,train
United Steelworkers 12460,"STEELWORKERS, AFL-CIO",12460.0,1062.0,,train
IAM&AW-1297,MACHINISTS AFL-CIO,1297.0,27694.0,,train
Laborers International 663,LABORERS,663.0,42741.0,,train
Local 1102 RWDSU UFCW 1102,"RETAIL WHOLESALE, DC, UFCW",1102.0,12614.0,,train
USW-00780,"STEELWORKERS, AFL-CIO",780.0,515206,,train
CIC-1123,CARPENTERS IND,1123.0,543912.0,,train
IBT-439,TEAMSTERS,439.0,14236.0,,train
USW-15320,"STEELWORKERS, AFL-CIO",15320.0,65481.0,,test
"United Union of Roofers, Water Proofers, and Allied Workers 149",ROOFERS AFL-CIO,149.0,35129.0,,train
USW-6135,"STEELWORKERS, AFL-CIO",6135.0,57114.0,,train
RWAW Local 189,ROOFERS AFL-CIO,189.0,48819.0,,train
"NY-NJ Regional Joint Board, Workers United 569","WORKERS UNITED, SEIU",569.0,542944.0,,train
BCTGM-364,"BAKERY, TOBACCO AND GRAIN AFL-CIO",364.0,36253.0,,train
USW District 4 Local 8228-93,"STEELWORKERS, AFL-CIO",8228.0,71222.0,,train
"Sheet Metal, Air, Rail & Transportation Workers International Association 100","SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",100.0,,ambiguous,train
Keystone Mountain Lakes Carpenters-1024,CARPENTERS IND,1024.0,11457.0,,train
USW-7312-01,"STEELWORKERS, AFL-CIO",7312.0,66367.0,,train
IAMAW-1045,MACHINISTS AFL-CIO,1045.0,50694.0,,train
Ironworkers Shopmen-501,IRON WORKERS AFL-CIO,501.0,26950.0,,train
"LSPNA, Inc. WPPA 140",LABORERS,140.0,21075.0,,train
International Brotherhood of Teamsters 5,TEAMSTERS,5.0,38170.0,,train
United Food and Commercial Workers 431,FOOD AND COMMERCIAL WKRS,431.0,14291,,train
Workers United-829,"WORKERS UNITED, SEIU",829.0,59492.0,,train
IBEW Local 1666,ELECTRICAL WORKERS IBEW AFL-CIO,1666.0,13434.0,,train
GCC IBT-14-M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,14.0,23547.0,,train
LIUNA-670,LABORERS,670.0,1236.0,,train
SMW 10,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",10.0,516361,,train
United Steelworkers 1035-08,"STEELWORKERS, AFL-CIO",1035.0,28255,,train
OPEIU-9,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,9.0,11712.0,,train
AFSCME Council 65 730-2,STATE COUNTY AND MUNI EMPLS AFL-CIO,730.0,59976.0,,train
"Mid-Atlantic Regional Joint Board, Workers United 188","WORKERS UNITED, SEIU",188.0,52351,,train
USW-1532,"STEELWORKERS, AFL-CIO",1532.0,510280.0,,train
USW-2003-25,"STEELWORKERS, AFL-CIO",2003.0,542903,,train
IAM-1271,MACHINISTS AFL-CIO,1271.0,6164.0,,train
IFPTE Local 147,"ENGINEERS, PROF AND TECH, AFL-CIO",147.0,43451.0,,train
Teamsters Local 683 683,TEAMSTERS,683.0,36805.0,,train
IAMAW Local 153,MACHINISTS AFL-CIO,153.0,33221.0,,train
IBT Council 40-261,TEAMSTERS,261.0,15399.0,,train
UAW-598,AUTO WORKERS AFL-CIO,598.0,22669.0,,test
IBEW Local 1106,ELECTRICAL WORKERS IBEW AFL-CIO,1106.0,507204.0,,train
IUOE-158 District 832,"ENGINEERS, OPERATING, AFL-CIO",832.0,48960.0,,train
UNITED STEELWORKERS 9305-05,"STEELWORKERS, AFL-CIO",9305.0,528381.0,,test
GCC/IBT 135-C,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,135.0,50298.0,,train
"Communications Workers of America, Industrial Division 83783",COMMUNICATIONS WORKERS AFL-CIO,83783.0,61249.0,,train
USW Local 2-389,"STEELWORKERS, AFL-CIO",389.0,35385.0,,train
UFCW District Union 2,FOOD AND COMMERCIAL WKRS,2.0,,ambiguous,train
IBT-350,TEAMSTERS,350.0,34911.0,,train
Operating Engineers Local Union 3,"ENGINEERS, OPERATING, AFL-CIO",3.0,35651.0,,test
Teamsters 315,TEAMSTERS,315.0,9807.0,,train
Teamsters Local 92,TEAMSTERS,92.0,16786.0,,train
CWA-4700,COMMUNICATIONS WORKERS AFL-CIO,4700.0,530399.0,,train
OPEIU-494,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,494.0,509497.0,,test
Workers United 151,"WORKERS UNITED, SEIU",151.0,54450,,train
ESC Local 20 IFPTE 20,"ENGINEERS, PROF AND TECH, AFL-CIO",20.0,16156.0,,train
Teamsters 529,TEAMSTERS,529.0,10359.0,,train
United Steelworkers 1259-08,"STEELWORKERS, AFL-CIO",1259.0,19830.0,,train
United Steelworkers 8390,"STEELWORKERS, AFL-CIO",8390.0,506254.0,,train
Iron Workers 25,IRON WORKERS AFL-CIO,25.0,28506.0,,train
Utility Workers Union of America-335,UTILITY WORKERS AFL-CIO,335.0,9204.0,,train
"United Steelworkers, AFL-CIO, CLC 1693-25","STEELWORKERS, AFL-CIO",1693.0,38468.0,,train
"Mid-Atlantic Regional Joint Board, Workers United-863-2","WORKERS UNITED, SEIU",863.0,10775.0,,train
Reinforcing Ironworkers-416,IRON WORKERS AFL-CIO,416.0,38895.0,,train
"CHCA District 1199 NUHHCE, AFCME, AFL_CIO  755 - S&M",STATE COUNTY AND MUNI EMPLS AFL-CIO,755.0,544521.0,,train
